clients_by,training_mode,calibration_scope,model,decision_policy,round,roc_auc,pr_auc,f1,precision,recall,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
bearing,fedavg,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,5,0.623842834321665,0.9905469177185782,0.4242263790417213,0.9967970533682905,0.26945281124497994,0.0647089738536329,0.7305471887550201,0.02404941996946938,0.1373095133586101,0.3273394201243913,0.19002990676578124
bearing,fedavg,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,6,0.6237914685725462,0.9905613748125952,0.425074286586037,0.9968452929921536,0.27013410786001146,0.06370987167695878,0.7298658921399884,0.024731676401541586,0.13724162175505092,0.3276803923398458,0.1904387705847949
bearing,fedavg,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,7,0.624367955962848,0.990602356861649,0.4259573066343736,0.9967970277908185,0.27085126219162364,0.06484036263303114,0.7291487378083764,0.024247610027549802,0.13716350488281312,0.3280424612116292,0.19087895632881613
bearing,fedavg,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,8,0.6246801995882344,0.9906397357816171,0.42681951683460584,0.9967894895312778,0.2715504876649455,0.06554657732229667,0.7284495123350544,0.023893374357435496,0.1369580916530748,0.3283993304054981,0.19144123875242328
bearing,fedavg,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,9,0.6248956727744206,0.9906458936301793,0.4271062341828753,0.9967678539187471,0.2717835628227194,0.06622268208295011,0.7282164371772805,0.024135399274504764,0.13742496334194032,0.32839629486471617,0.19097133152277587
bearing,fedavg,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,10,0.6250955837926178,0.9906643756432142,0.4273502548694102,0.9967861744702029,0.2719807802639128,0.06609129330355187,0.7280192197360872,0.02441695131875968,0.13677219235712756,0.3284596604572027,0.19168746810007517
bearing,fedavg,pooled,cnn-ae,hard_val_p95,1,0.634536832032483,0.9902586631708075,0.36490923120465135,0.9957708829308918,0.22342943201376939,0.07212239964035135,0.7765705679862306,0.16141857484260716,0.14588575512029522,0.28419884569267745,0.13831309057238225
bearing,fedavg,pooled,cnn-ae,hard_val_p95,2,0.6207377069080914,0.9903499548395188,0.42904697935090647,0.9968046729812116,0.27336130235226624,0.06839059694302106,0.7266386976477337,0.043500887245265844,0.13960983715269695,0.3314790500042715,0.19186921285157454
bearing,fedavg,pooled,cnn-ae,hard_val_p95,3,0.6180903772507429,0.9902419446361862,0.4347058204893057,0.9965491034310561,0.2779869477911647,0.0771799588315158,0.7220130522088354,0.029190353297497834,0.14255626453811152,0.3330836821880632,0.19052741764995174
bearing,fedavg,pooled,cnn-ae,hard_val_p95,4,0.6233669304778874,0.99045033355473,0.4226858220095022,0.9967364951463029,0.2682157200229489,0.06567796610169492,0.7317842799770511,0.025292798970465893,0.13845665896649426,0.32692932693278615,0.18847266796629192
bearing,fedavg,pooled,cnn-ae,hard_val_p95,5,0.623842834321665,0.9905469177185782,0.4242263790417213,0.9967970533682905,0.26945281124497994,0.0647089738536329,0.7305471887550201,0.02404941996946938,0.1373095133586101,0.3273394201243913,0.19002990676578124
bearing,fedavg,pooled,cnn-ae,hard_val_p95,6,0.6237914685725462,0.9905613748125952,0.425074286586037,0.9968452929921536,0.27013410786001146,0.06370987167695878,0.7298658921399884,0.024731676401541586,0.13724162175505092,0.3276803923398458,0.1904387705847949
bearing,fedavg,pooled,cnn-ae,hard_val_p95,7,0.624367955962848,0.990602356861649,0.4259573066343736,0.9967970277908185,0.27085126219162364,0.06484036263303114,0.7291487378083764,0.024247610027549802,0.13716350488281312,0.3280424612116292,0.19087895632881613
