clients_by,training_mode,calibration_scope,model,decision_policy,false_alarm_rate_std,miss_rate_std,uncertain_rate_std,health_gap_std
condition,fedavg,pooled,cnn-ae,fuzzy_fault_only_hi75,0.03494790528051534,0.027394462373151286,0.00868385902190638,0.06782930412441565
condition,fedavg,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,0.07534494164337185,0.024331528310186416,0.00868385902190638,0.06782930412441565
condition,fedavg,pooled,cnn-ae,hard_val_p95,0.07534494164337185,0.024331528310186416,0.00868385902190638,0.06782930412441565
condition,fedavg-personalized,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.004632791311910806,0.09733131493524176,0.028674561766787347,0.09773019642483019
condition,fedavg-personalized,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.005262634581609249,0.1130327597420612,0.028674561766787347,0.09773019642483019
condition,fedavg-personalized,client_specific,cnn-ae,hard_val_p95,0.005262634581609249,0.1130327597420612,0.028674561766787347,0.09773019642483019
condition,fedbn,adaptive,cnn-ae,fuzzy_fault_only_hi75,0.07625975975342768,0.12727634357647666,0.20663943214203515,0.10727144142354159
condition,fedbn,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,0.13549984078288374,0.12401664343510094,0.20663943214203515,0.10727144142354159
condition,fedbn,adaptive,cnn-ae,hard_val_p95,0.13549984078288374,0.12401664343510094,0.20663943214203515,0.10727144142354159
condition,fedbn,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.0062593377503168575,0.1478390129055756,0.03584390340823044,0.13393478911851783
condition,fedbn,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.015043006864704994,0.15590342500449128,0.03584390340823044,0.13393478911851783
condition,fedbn,client_specific,cnn-ae,hard_val_p95,0.015043006864704994,0.15590342500449128,0.03584390340823044,0.13393478911851783
condition,fedbn,pooled,cnn-ae,fuzzy_fault_only_hi75,0.14761609014906968,0.15235750471704404,0.15507590058199144,0.11275045738485392
condition,fedbn,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,0.23459072871118464,0.19165483330260746,0.15507590058199144,0.11275045738485392
condition,fedbn,pooled,cnn-ae,hard_val_p95,0.23459072871118464,0.19165483330260746,0.15507590058199144,0.11275045738485392
