seed,clients_by,training_mode,round,model,client_id,client_train_count,client_val_count,client_test_normal_count,fault_audit_count,decision_policy,p50,p90,p95,p99,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap,tn,fp,fn,tp
202,bearing,centralized,20,vae,K005,172,37,36,1956,hard_val_p95,1.0433030128479004,1.0916054725646973,1.1059956312179564,1.1278163290023804,0.41009145648716194,0.9771424272134451,0.9302325581395349,0.02044989775051125,0.0400200100050025,0.08333333333333333,0.9795501022494888,0.030120481927710843,0.11033864305273317,0.052152762538069775,-0.05818588051466339,33,3,1916,40
202,bearing,centralized,20,vae,K005,172,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0433030128479004,1.0916054725646973,1.1059956312179564,1.1278163290023804,0.41009145648716194,0.9771424272134451,0.9302325581395349,0.02044989775051125,0.0400200100050025,0.08333333333333333,0.9795501022494888,0.030120481927710843,0.11033864305273317,0.052152762538069775,-0.05818588051466339,33,3,1916,40
202,bearing,centralized,20,vae,K005,172,37,36,1956,fuzzy_fault_only_hi75,1.0433030128479004,1.0916054725646973,1.1059956312179564,1.1278163290023804,0.41009145648716194,0.9771424272134451,0.9523809523809523,0.010224948875255624,0.020232675771370764,0.027777777777777776,0.9897750511247444,0.030120481927710843,0.11033864305273317,0.052152762538069775,-0.05818588051466339,35,1,1936,20
202,bearing,centralized,20,vae,K006,171,37,36,1956,hard_val_p95,1.0143024921417236,1.0263880014419555,1.029018759727478,1.0387989568710327,0.6466428084526243,0.9900851626651002,0.9930232558139535,0.43660531697341515,0.6065340909090909,0.16666666666666666,0.5633946830265849,0.07680722891566265,0.2102236774127095,0.45290873457527153,0.24268505716256203,30,6,1102,854
202,bearing,centralized,20,vae,K006,171,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0143024921417236,1.0263880014419555,1.029018759727478,1.0387989568710327,0.6466428084526243,0.9900851626651002,0.9930232558139535,0.43660531697341515,0.6065340909090909,0.16666666666666666,0.5633946830265849,0.07680722891566265,0.2102236774127095,0.45290873457527153,0.24268505716256203,30,6,1102,854
202,bearing,centralized,20,vae,K006,171,37,36,1956,fuzzy_fault_only_hi75,1.0143024921417236,1.0263880014419555,1.029018759727478,1.0387989568710327,0.6466428084526243,0.9900851626651002,0.9933774834437086,0.3834355828220859,0.5533013648100332,0.1388888888888889,0.6165644171779141,0.07680722891566265,0.2102236774127095,0.45290873457527153,0.24268505716256203,31,5,1206,750
202,bearing,federated,1,vae,K001,172,37,36,1956,hard_val_p95,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
202,bearing,federated,1,vae,K001,172,37,36,1956,fuzzy_warning_as_alarm_hi50,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
202,bearing,federated,1,vae,K001,172,37,36,1956,fuzzy_fault_only_hi75,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
202,bearing,federated,1,vae,K002,172,37,36,1956,hard_val_p95,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
