training_mode,seed,clients_by,calibration_scope,model,client_id,decision_policy,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
fedavg,42,bearing,pooled,cnn-ae,K001,hard_val_p95,0.04783258594917788,0.08333333333333333,0.9754601226993865,0.06827309236947791,0.14542105516653858,0.07503063775872028,-0.0703904174078183
fedavg,42,bearing,pooled,cnn-ae,K001,fuzzy_warning_as_alarm_hi50,0.04783258594917788,0.08333333333333333,0.9754601226993865,0.06827309236947791,0.14542105516653858,0.07503063775872028,-0.0703904174078183
fedavg,42,bearing,pooled,cnn-ae,K001,fuzzy_fault_only_hi75,0.019230769230769232,0.027777777777777776,0.9902862985685071,0.06827309236947791,0.14542105516653858,0.07503063775872028,-0.0703904174078183
fedavg,42,bearing,client_specific,cnn-ae,K002,hard_val_p95,0.044932601098352475,0.05555555555555555,0.9769938650306749,0.07429718875502007,0.14498354853736328,0.09500040959131252,-0.04998313894605076
fedavg,42,bearing,client_specific,cnn-ae,K002,fuzzy_warning_as_alarm_hi50,0.044932601098352475,0.05555555555555555,0.9769938650306749,0.07429718875502007,0.14498354853736328,0.09500040959131252,-0.04998313894605076
fedavg,42,bearing,client_specific,cnn-ae,K002,fuzzy_fault_only_hi75,0.042,0.05555555555555555,0.9785276073619632,0.07429718875502007,0.14498354853736328,0.09500040959131252,-0.04998313894605076
fedavg,42,bearing,pooled,cnn-ae,K002,hard_val_p95,0.047856430707876374,0.05555555555555555,0.9754601226993865,0.06877510040160642,0.10817092111624084,0.07503063775872028,-0.03314028335752056
fedavg,42,bearing,pooled,cnn-ae,K002,fuzzy_warning_as_alarm_hi50,0.047856430707876374,0.05555555555555555,0.9754601226993865,0.06877510040160642,0.10817092111624084,0.07503063775872028,-0.03314028335752056
fedavg,42,bearing,pooled,cnn-ae,K002,fuzzy_fault_only_hi75,0.019230769230769232,0.027777777777777776,0.9902862985685071,0.06877510040160642,0.10817092111624084,0.07503063775872028,-0.03314028335752056
fedavg,42,bearing,client_specific,cnn-ae,K003,hard_val_p95,0.014205986808726534,0.02702702702702703,0.9928425357873211,0.028600100351229302,0.08140553733996957,0.03938505701816089,-0.042020480321808676
fedavg,42,bearing,client_specific,cnn-ae,K003,fuzzy_warning_as_alarm_hi50,0.014205986808726534,0.02702702702702703,0.9928425357873211,0.028600100351229302,0.08140553733996957,0.03938505701816089,-0.042020480321808676
fedavg,42,bearing,client_specific,cnn-ae,K003,fuzzy_fault_only_hi75,0.0061162079510703364,0.0,0.9969325153374233,0.028600100351229302,0.08140553733996957,0.03938505701816089,-0.042020480321808676
fedavg,42,bearing,pooled,cnn-ae,K003,hard_val_p95,0.047880299251870324,0.02702702702702703,0.9754601226993865,0.06924234821876568,0.15986806612194687,0.07503063775872028,-0.0848374283632266
fedavg,42,bearing,pooled,cnn-ae,K003,fuzzy_warning_as_alarm_hi50,0.047880299251870324,0.02702702702702703,0.9754601226993865,0.06924234821876568,0.15986806612194687,0.07503063775872028,-0.0848374283632266
fedavg,42,bearing,pooled,cnn-ae,K003,fuzzy_fault_only_hi75,0.019230769230769232,0.02702702702702703,0.9902862985685071,0.06924234821876568,0.15986806612194687,0.07503063775872028,-0.0848374283632266
fedavg,42,bearing,client_specific,cnn-ae,K004,hard_val_p95,0.45296442687747035,0.027777777777777776,0.7070552147239264,0.053714859437751006,0.08427311094862866,0.32852790548955585,0.2442547945409272
fedavg,42,bearing,client_specific,cnn-ae,K004,fuzzy_warning_as_alarm_hi50,0.45296442687747035,0.027777777777777776,0.7070552147239264,0.053714859437751006,0.08427311094862866,0.32852790548955585,0.2442547945409272
fedavg,42,bearing,client_specific,cnn-ae,K004,fuzzy_fault_only_hi75,0.4219443323920936,0.0,0.7326175869120655,0.053714859437751006,0.08427311094862866,0.32852790548955585,0.2442547945409272
fedavg,42,bearing,pooled,cnn-ae,K004,hard_val_p95,0.04790419161676647,0.0,0.9754601226993865,0.06626506024096386,0.008809355691713731,0.07503063775872028,0.06622128206700655
fedavg,42,bearing,pooled,cnn-ae,K004,fuzzy_warning_as_alarm_hi50,0.04790419161676647,0.0,0.9754601226993865,0.06626506024096386,0.008809355691713731,0.07503063775872028,0.06622128206700655
fedavg,42,bearing,pooled,cnn-ae,K004,fuzzy_fault_only_hi75,0.019240506329113925,0.0,0.9902862985685071,0.06626506024096386,0.008809355691713731,0.07503063775872028,0.06622128206700655
fedavg,42,bearing,client_specific,cnn-ae,K005,hard_val_p95,0.5393509884371503,0.05555555555555555,0.6303680981595092,0.09889558232931726,0.10383756062781924,0.4124929085232001,0.30865534789538085
fedavg,42,bearing,client_specific,cnn-ae,K005,fuzzy_warning_as_alarm_hi50,0.5393509884371503,0.05555555555555555,0.6303680981595092,0.09889558232931726,0.10383756062781924,0.4124929085232001,0.30865534789538085
fedavg,42,bearing,client_specific,cnn-ae,K005,fuzzy_fault_only_hi75,0.5032504780114723,0.027777777777777776,0.66359918200409,0.09889558232931726,0.10383756062781924,0.4124929085232001,0.30865534789538085
fedavg,42,bearing,pooled,cnn-ae,K005,hard_val_p95,0.04790419161676647,0.0,0.9754601226993865,0.06626506024096386,0.00556087705291453,0.07503063775872028,0.06946976070580575
fedavg,42,bearing,pooled,cnn-ae,K005,fuzzy_warning_as_alarm_hi50,0.04790419161676647,0.0,0.9754601226993865,0.06626506024096386,0.00556087705291453,0.07503063775872028,0.06946976070580575
fedavg,42,bearing,pooled,cnn-ae,K005,fuzzy_fault_only_hi75,0.019240506329113925,0.0,0.9902862985685071,0.06626506024096386,0.00556087705291453,0.07503063775872028,0.06946976070580575
fedavg,42,bearing,client_specific,cnn-ae,K006,hard_val_p95,0.21707538601271573,0.19444444444444445,0.8778118609406953,0.03463855421686747,0.24776135535051028,0.1396715811213554,-0.10808977422915489
fedavg,42,bearing,client_specific,cnn-ae,K006,fuzzy_warning_as_alarm_hi50,0.21707538601271573,0.19444444444444445,0.8778118609406953,0.03463855421686747,0.24776135535051028,0.1396715811213554,-0.10808977422915489
fedavg,42,bearing,client_specific,cnn-ae,K006,fuzzy_fault_only_hi75,0.1790352504638219,0.19444444444444445,0.9013292433537833,0.03463855421686747,0.24776135535051028,0.1396715811213554,-0.10808977422915489
fedavg,42,bearing,pooled,cnn-ae,K006,hard_val_p95,0.047880299251870324,0.027777777777777776,0.9754601226993865,0.06827309236947791,0.1425023520327552,0.07503063775872028,-0.06747171427403491
fedavg,42,bearing,pooled,cnn-ae,K006,fuzzy_warning_as_alarm_hi50,0.047880299251870324,0.027777777777777776,0.9754601226993865,0.06827309236947791,0.1425023520327552,0.07503063775872028,-0.06747171427403491
